num,desc,category,category_desc
104,Reserved for future use,0,Unknown
105,Reserved for future use,0,Unknown
106,Reserved for future use,0,Unknown
107,Reserved for future use,0,Unknown
108,Reserved for future use,0,Unknown
109,Reserved for future use,0,Unknown
110,Reserved for future use,0,Unknown
111,Reserved for future use,0,Unknown
112,Reserved for future use,0,Unknown
113,Reserved for future use,0,Unknown
114,Reserved for future use,0,Unknown
115,Reserved for future use,0,Unknown
116,Reserved for future use,0,Unknown
117,Reserved for future use,0,Unknown
118,Reserved for future use,0,Unknown
119,Reserved for future use,0,Unknown
120,Reserved for future use,0,Unknown
121,Reserved for future use,0,Unknown
122,Reserved for future use,0,Unknown
123,Reserved for future use,0,Unknown
124,Reserved for future use,0,Unknown
125,Reserved for future use,0,Unknown
126,Reserved for future use,0,Unknown
127,Reserved for future use,0,Unknown
128,Reserved for future use,0,Unknown
129,Reserved for future use,0,Unknown
130,Reserved for future use,0,Unknown
131,Reserved for future use,0,Unknown
132,Reserved for future use,0,Unknown
133,Reserved for future use,0,Unknown
134,Reserved for future use,0,Unknown
135,Reserved for future use,0,Unknown
136,Reserved for future use,0,Unknown
137,Reserved for future use,0,Unknown
138,Reserved for future use,0,Unknown
139,Reserved for future use,0,Unknown
140,Reserved for future use,0,Unknown
141,Reserved for future use,0,Unknown
142,Reserved for future use,0,Unknown
143,Reserved for future use,0,Unknown
144,Reserved for future use,0,Unknown
145,Reserved for future use,0,Unknown
146,Reserved for future use,0,Unknown
147,Reserved for future use,0,Unknown
148,Reserved for future use,0,Unknown
149,Reserved for future use,0,Unknown
150,Reserved for future use,0,Unknown
151,Reserved for future use,0,Unknown
152,Reserved for future use,0,Unknown
153,Reserved for future use,0,Unknown
154,Reserved for future use,0,Unknown
155,Reserved for future use,0,Unknown
156,Reserved for future use,0,Unknown
157,Reserved for future use,0,Unknown
158,Reserved for future use,0,Unknown
159,Reserved for future use,0,Unknown
160,Reserved for future use,0,Unknown
161,Reserved for future use,0,Unknown
162,Reserved for future use,0,Unknown
163,Reserved for future use,0,Unknown
164,Reserved for future use,0,Unknown
165,Reserved for future use,0,Unknown
166,Reserved for future use,0,Unknown
167,Reserved for future use,0,Unknown
168,Reserved for future use,0,Unknown
169,Reserved for future use,0,Unknown
170,Reserved for future use,0,Unknown
171,Reserved for future use,0,Unknown
172,Reserved for future use,0,Unknown
173,Reserved for future use,0,Unknown
174,Reserved for future use,0,Unknown
175,Reserved for future use,0,Unknown
176,Reserved for future use,0,Unknown
177,Reserved for future use,0,Unknown
178,Reserved for future use,0,Unknown
179,Reserved for future use,0,Unknown
180,Reserved for future use,0,Unknown
181,Reserved for future use,0,Unknown
182,Reserved for future use,0,Unknown
183,Reserved for future use,0,Unknown
184,Reserved for future use,0,Unknown
185,Reserved for future use,0,Unknown
186,Reserved for future use,0,Unknown
187,Reserved for future use,0,Unknown
188,Reserved for future use,0,Unknown
189,Reserved for future use,0,Unknown
190,Reserved for future use,0,Unknown
191,Reserved for future use,0,Unknown
192,Reserved for future use,0,Unknown
193,Reserved for future use,0,Unknown
194,Reserved for future use,0,Unknown
195,Reserved for future use,0,Unknown
196,Reserved for future use,0,Unknown
197,Reserved for future use,0,Unknown
198,Reserved for future use,0,Unknown
199,Reserved for future use,0,Unknown
200,Reserved for future use,0,Unknown
201,Reserved for future use,0,Unknown
202,Reserved for future use,0,Unknown
203,Reserved for future use,0,Unknown
204,Reserved for future use,0,Unknown
205,Reserved for future use,0,Unknown
206,Reserved for future use,0,Unknown
207,Reserved for future use,0,Unknown
208,Reserved for future use,0,Unknown
209,Reserved for future use,0,Unknown
210,Reserved for future use,0,Unknown
211,Reserved for future use,0,Unknown
212,Reserved for future use,0,Unknown
213,Reserved for future use,0,Unknown
214,Reserved for future use,0,Unknown
215,Reserved for future use,0,Unknown
216,Reserved for future use,0,Unknown
217,Reserved for future use,0,Unknown
218,Reserved for future use,0,Unknown
219,Reserved for future use,0,Unknown
220,Reserved for future use,0,Unknown
221,Reserved for future use,0,Unknown
222,Reserved for future use,0,Unknown
223,Reserved for future use,0,Unknown
224,Reserved for future use,0,Unknown
225,Reserved for future use,0,Unknown
226,Reserved for future use,0,Unknown
227,Reserved for future use,0,Unknown
228,Reserved for future use,0,Unknown
229,Reserved for future use,0,Unknown
230,Reserved for future use,0,Unknown
231,Reserved for future use,0,Unknown
232,Reserved for future use,0,Unknown
233,Reserved for future use,0,Unknown
234,Reserved for future use,0,Unknown
235,Reserved for future use,0,Unknown
236,Reserved for future use,0,Unknown
237,Reserved for future use,0,Unknown
238,Reserved for future use,0,Unknown
239,Reserved for future use,0,Unknown
240,Reserved for future use,0,Unknown
241,Reserved for future use,0,Unknown
242,Reserved for future use,0,Unknown
243,Reserved for future use,0,Unknown
244,Reserved for future use,0,Unknown
245,Reserved for future use,0,Unknown
246,Reserved for future use,0,Unknown
247,Reserved for future use,0,Unknown
248,Reserved for future use,0,Unknown
249,Reserved for future use,0,Unknown
250,Reserved for future use,0,Unknown
251,Reserved for future use,0,Unknown
252,Reserved for future use,0,Unknown
253,Reserved for future use,0,Unknown
254,Reserved for future use,0,Unknown
255,Reserved for future use,0,Unknown
1001,Fishing vessels,2,Fishing
1002,Fishing vessels,2,Fishing
1003,Freight Vessels,19,Cargo
1004,Freight Vessels,19,Cargo
1005,Industrial vessels,13,Industrial
1006,Miscellaneous vessels,21,Other
1007,Offshore drilling vessels,13,Industrial
1008,non-vessel,21,Other
1009,non-vessel,21,Other
1010,Offshore supply vessel,13,Industrial
1011,Oil Recovery vessel,13,Industrial
1012,Passenger ships,18,Passenger
1013,Passenger ships,18,Passenger
1014,Passenger ships,18,Passenger
1015,Passenger ships,18,Passenger
1016,Public freight,19,Cargo
1017,Public tankship/barge,20,Tanker
1018,Unclassified public vessel,0,Unknown
1019,Recreational Vessel,8,Pleasure
1020,Research Vessel,21,Other
1021,SAR Aircraft,21,Other
1022,School ship,21,Other
1023,Tank Barge,20,Tanker
1024,Tank Ship,20,Tanker
1025,Towing Vessel,3,Towing
